Flood depth,MHHW_2022,NFHL100_2022,CAT1_2022,CAT2_2022,CAT3_2022,CAT5_2022,MHHW_2040,NFHL100_2040,CAT1_2040,CAT2_2040,CAT3_2040,CAT5_2040,MHHW_2070,NFHL100_2070,CAT1_2070,CAT2_2070,CAT3_2070,CAT5_2070,Asset Class
0-1 ft,100.0,86.67,100.0,88.89,62.22,8.89,100.0,68.89,100.0,84.44,46.67,4.44,100.0,40.0,91.11,71.11,31.11,0.0,"NATURAL, CULTURAL, AND HISTORICAL RESOURCES"
1-3 ft,0.0,4.44,0.0,8.89,22.22,4.44,0.0,17.78,0.0,6.67,26.67,4.44,0.0,31.11,8.89,15.56,17.78,6.67,"NATURAL, CULTURAL, AND HISTORICAL RESOURCES"
18-27 ft,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,2.22,"NATURAL, CULTURAL, AND HISTORICAL RESOURCES"
3-6 ft,0.0,8.89,0.0,2.22,13.33,22.22,0.0,13.33,0.0,8.89,15.56,22.22,0.0,20.0,0.0,11.11,35.56,4.44,"NATURAL, CULTURAL, AND HISTORICAL RESOURCES"
6-9 ft,0.0,0.0,0.0,0.0,0.0,37.78,0.0,0.0,0.0,0.0,8.89,24.44,0.0,8.89,0.0,2.22,13.33,24.44,"NATURAL, CULTURAL, AND HISTORICAL RESOURCES"
9-18 ft,0.0,0.0,0.0,0.0,2.22,24.44,0.0,0.0,0.0,0.0,2.22,42.22,0.0,0.0,0.0,0.0,2.22,62.22,"NATURAL, CULTURAL, AND HISTORICAL RESOURCES"
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"NATURAL, CULTURAL, AND HISTORICAL RESOURCES"
0-1 ft,99.99,90.73,99.45,83.14,48.7,12.0,99.9,53.82,96.0,74.7,40.93,8.65,98.15,42.06,87.11,61.73,31.33,3.89,TRANSPORTATION
1-3 ft,0.01,4.36,0.5,9.4,14.01,5.46,0.1,17.02,3.96,11.93,13.39,5.7,1.81,14.24,9.77,13.69,11.35,5.44,TRANSPORTATION
18-27 ft,0.0,0.0,0.0,0.0,0.0,5.11,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,15.93,TRANSPORTATION
3-6 ft,0.0,4.38,0.04,7.13,20.44,14.89,0.0,17.74,0.04,11.14,19.6,11.5,0.04,20.77,3.11,16.73,19.27,7.79,TRANSPORTATION
6-9 ft,0.0,0.52,0.0,0.33,13.11,15.08,0.0,9.97,0.0,2.22,18.02,14.81,0.0,16.61,0.01,7.42,20.27,14.78,TRANSPORTATION
9-18 ft,0.0,0.01,0.0,0.0,3.74,47.45,0.0,1.45,0.0,0.0,8.06,50.85,0.0,6.31,0.0,0.42,17.79,52.17,TRANSPORTATION
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRANSPORTATION
0-1 ft,100.0,81.93,100.0,90.97,48.68,15.31,100.0,55.58,99.62,77.04,36.39,12.92,100.0,36.14,95.86,52.07,27.73,12.05,ECONOMY
1-3 ft,0.0,13.17,0.0,6.4,25.35,6.02,0.0,33.25,0.38,15.68,20.83,3.64,0.0,21.46,4.02,25.97,9.54,1.0,ECONOMY
18-27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.25,ECONOMY
3-6 ft,0.0,4.39,0.0,2.63,22.58,10.79,0.0,9.66,0.0,7.15,33.38,10.16,0.0,37.39,0.13,19.07,35.01,7.4,ECONOMY
6-9 ft,0.0,0.5,0.0,0.0,3.39,26.35,0.0,1.51,0.0,0.13,9.41,17.57,0.0,4.52,0.0,2.89,23.96,11.54,ECONOMY
9-18 ft,0.0,0.0,0.0,0.0,0.0,41.53,0.0,0.0,0.0,0.0,0.0,55.58,0.0,0.5,0.0,0.0,3.76,67.75,ECONOMY
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECONOMY
0-1 ft,100.0,88.15,100.0,93.13,59.31,11.45,100.0,68.03,99.65,85.61,45.42,8.52,100.0,45.62,95.77,67.28,30.33,7.62,HOUSING
1-3 ft,0.0,7.97,0.0,6.42,22.86,8.52,0.0,23.31,0.35,10.31,23.21,5.93,0.0,24.7,4.03,19.72,16.43,1.15,HOUSING
18-27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,HOUSING
3-6 ft,0.0,3.83,0.0,0.45,14.79,17.78,0.0,7.77,0.0,4.08,24.15,14.04,0.0,25.05,0.2,12.45,34.31,10.51,HOUSING
6-9 ft,0.0,0.05,0.0,0.0,3.04,30.03,0.0,0.85,0.0,0.0,7.12,24.2,0.0,4.28,0.0,0.55,15.74,17.68,HOUSING
9-18 ft,0.0,0.0,0.0,0.0,0.0,32.22,0.0,0.05,0.0,0.0,0.1,47.21,0.0,0.35,0.0,0.0,3.19,62.8,HOUSING
>27 ft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOUSING
